8000 193776
0 1 9.304827
1 0 1.385332
1 2 8.444560
1 3 5.618350
1 4 2.449301
1 5 6.818353
1 6 7.550773
1 7 4.455207
1 8 7.596381
1 9 3.600429
1 10 1.120262
1 11 8.221227
1 12 4.309348
1 13 4.137240
1 14 4.061471
1 15 1.774644
1 16 1.407056
1 17 8.946944
1 18 7.696772
1 19 9.592519
1 20 3.207052
1 21 7.419662
1 22 8.385339
1 23 7.410457
1 24 8.452478
1 25 5.279235
1 26 9.350874
1 27 6.348695
1 28 2.179961
1 29 2.722307
1 30 4.889527
1 31 3.350842
1 32 6.633961
1 33 3.589868
1 34 2.123814
1 35 4.128218
1 36 8.857086
1 37 4.706418
1 38 7.084369
1 39 5.388568
1 40 7.776311
1 41 1.865338
1 42 3.512062
1 43 6.429978
1 44 4.031042
1 45 7.360745
1 46 3.558248
1 47 6.959607
1 48 7.010208
1 49 8.797011
1 50 4.590009
1 51 7.034175
1 52 3.318679
1 53 4.138327
1 54 9.288317
1 55 7.883648
1 56 5.117500
1 57 4.023120
1 58 6.206383
1 59 2.616794
1 60 7.357607
1 61 6.933568
1 62 4.542250
1 63 2.326770
1 64 9.849261
1 65 3.108944
1 66 6.186852
1 67 8.146491
1 68 5.526219
1 69 4.845174
1 70 1.642506
2 1 1.767762
3 1 8.136311
3 4 7.995472
3 6 3.010674
3 878 6.269202
4 1 6.471280
4 3 2.828508
4 49 2.240481
4 50 9.599152
4 74 4.972989
4 878 7.908079
4 910 2.479222
5 1 4.097481
5 56 5.981870
5 75 9.169962
5 86 6.821349
5 93 6.490587
5 106 5.091560
5 136 8.782317
5 140 4.547655
5 144 7.661026
5 145 6.825500
5 151 9.991772
5 188 2.784269
5 195 3.583930
5 212 2.433558
5 213 1.650240
5 301 3.624582
5 416 2.415844
5 443 9.031802
5 478 5.941038
5 566 3.538970
5 588 4.367636
5 647 6.359314
5 734 2.026947
5 823 7.268446
5 851 9.896116
5 919 8.165629
5 1330 6.728568
5 1359 4.479361
5 1365 8.757247
5 1371 8.273212
5 1672 8.675858
5 1725 7.433384
5 1768 1.131872
5 1793 2.472014
5 1824 8.659429
5 2718 9.205003
5 2737 9.918100
5 2753 2.133853
5 3027 3.056510
5 3237 1.205506
5 3311 9.583174
5 3334 9.019695
5 3844 4.525444
5 4153 2.067721
5 4398 8.747432
5 4746 9.705447
5 5030 6.412035
5 5033 7.032893
5 5036 9.134894
5 5048 4.440745
5 5050 6.008381
5 5061 7.173033
5 6917 1.429630
6 1 8.444981
6 3 2.446170
6 7 7.774038
6 50 5.718397
6 74 1.448298
6 308 5.942069
6 878 8.545936
6 910 5.983585
7 1 5.006549
7 6 4.967804
7 49 9.912559
7 50 2.609430
7 74 5.796910
7 88 7.829402
7 118 4.281000
7 308 8.235315
7 851 2.601593
7 878 4.028939
7 910 9.183704
7 949 2.631601
7 7775 9.023830
8 1 4.003879
9 1 8.327705
9 56 5.096894
9 81 2.642096
9 82 2.680087
9 184 6.127584
9 273 3.915945
9 316 7.744559
9 390 4.821009
9 416 2.089520
9 823 9.739232
9 1053 4.923646
9 1139 4.478264
9 1330 7.850438
9 1672 8.648846
9 1725 5.168239
9 1768 9.796199
9 2348 5.310912
9 2630 1.577972
9 3334 6.096432
9 3844 3.238701
9 5020 5.365801
9 5024 3.029162
9 5033 7.465723
9 5036 3.159453
9 5050 5.475997
9 5069 2.212466
9 5587 6.271014
10 1 4.785400
10 11 2.738916
10 12 1.705922
10 13 2.769135
11 1 4.462031
11 10 9.154252
11 12 1.387814
11 13 3.692687
11 74 6.362482
12 1 2.850275
12 10 6.574774
12 11 3.178204
12 13 7.042073
12 74 6.562506
13 1 4.996747
13 10 7.302518
13 11 8.659790
13 12 1.362051
13 56 5.549792
13 74 4.794667
13 78 5.704467
13 82 8.509582
13 115 9.372050
13 128 5.989601
13 362 2.344529
13 959 1.248219
13 960 1.189010
13 961 4.324422
13 962 6.940045
14 1 3.243399
15 1 7.664449
15 56 7.440379
15 102 3.673053
15 112 3.984572
15 133 6.600042
15 1806 2.021901
16 1 1.044644
16 56 5.323162
16 82 9.799148
16 887 8.139454
16 1365 3.268670
17 1 6.046697
18 1 6.793210
18 316 6.475059
18 416 8.483680
