8500 103689
30 1412 7
30 3352 6
30 5254 8
30 5543 4
30 7478 1
3 28 7
3 30 7
3 39 8
3 54 10
3 108 4
3 152 4
3 178 4
3 182 3
3 214 6
3 271 7
3 286 6
3 300 8
3 348 8
3 349 3
3 371 5
3 567 1
3 581 1
3 584 2
3 586 3
3 590 7
3 604 4
3 611 4
3 8283 7
25 3 8
25 6 7
25 8 2
25 19 1
25 23 7
25 28 6
25 29 8
25 30 1
25 33 6
25 35 8
25 50 8
25 54 9
25 55 7
25 75 3
25 80 7
25 86 5
25 94 5
25 127 5
25 152 10
25 154 2
25 182 1
25 192 10
25 214 6
25 224 1
25 226 5
25 246 9
25 252 3
25 255 7
25 257 1
25 261 10
25 271 4
25 273 2
25 280 1
25 282 10
25 286 8
25 299 5
25 300 9
25 302 4
25 306 2
25 308 10
25 310 8
25 322 4
25 325 8
25 339 4
25 348 10
25 349 1
25 356 10
25 358 10
25 363 6
25 370 9
25 371 7
25 373 5
25 377 3
25 379 6
25 407 1
25 415 8
25 422 3
25 428 3
25 439 2
25 488 1
25 514 2
25 545 2
25 549 7
25 560 3
25 590 7
25 592 8
25 600 6
25 604 3
25 611 4
25 645 3
25 650 6
25 659 1
25 664 8
25 667 5
25 673 1
25 675 9
25 696 9
25 706 6
25 723 2
25 739 4
25 756 9
25 857 9
25 864 10
25 893 9
25 959 9
25 994 7
25 1131 1
25 3755 7
25 8282 7
25 8284 9
4 8 8
4 10 7
4 28 4
4 30 8
4 38 1
4 55 5
4 56 1
4 75 10
4 130 9
4 140 7
4 147 10
4 151 9
4 152 5
4 214 10
4 232 1
4 243 4
4 282 8
4 299 6
4 341 1
4 363 1
4 370 1
4 415 9
4 560 9
4 606 1
4 611 7
4 645 10
4 650 2
4 659 5
4 8282 1
5 6 1
5 8 4
5 10 1
5 23 5
5 30 5
5 33 6
5 38 10
5 50 6
5 54 3
5 55 7
5 61 1
5 75 10
5 89 8
5 93 3
5 127 9
5 130 3
5 147 3
5 153 7
5 163 2
5 167 1
5 168 9
5 175 6
5 299 8
6 3 4
6 8 4
6 10 8
6 19 6
6 23 1
6 28 10
6 29 5
6 30 2
6 33 8
6 34 10
6 35 6
6 38 5
6 39 5
6 50 9
6 54 10
6 55 5
6 56 3
6 61 8
6 80 6
6 86 4
6 89 2
6 93 1
6 94 4
6 127 3
6 130 10
6 132 2
6 135 1
6 140 6
6 147 5
6 151 5
6 153 8
6 154 4
6 163 1
6 167 9
6 168 10
6 171 8
6 175 1
6 178 1
6 182 7
6 183 2
6 216 10
6 219 9
6 226 4
6 227 2
6 228 5
6 232 5
6 236 4
6 243 1
6 250 2
6 252 2
6 257 9
6 258 10
6 259 5
6 261 5
6 271 6
6 273 9
6 274 10
6 280 5
6 285 10
6 286 2
6 290 1
6 298 2
6 299 5
6 300 5
6 301 7
6 304 3
6 306 5
6 317 10
6 319 3
6 322 3
6 325 8
6 339 3
6 348 10
6 349 5
6 356 10
6 358 1
6 359 5
6 362 10
6 363 1
6 370 3
6 371 10
6 373 6
6 377 9
6 378 1
6 379 5
6 390 3
6 391 2
6 392 1
6 394 8
6 396 3
6 402 7
6 405 8
6 406 10
6 407 5
6 415 3
6 421 9
6 422 5
6 427 7
6 428 8
6 431 2
6 432 8
6 433 3
6 435 8
6 439 2
6 440 8
6 447 2
6 538 6
6 545 1
6 549 2
6 560 2
6 564 6
6 566 3
6 567 9
6 579 3
6 581 7
6 584 8
6 586 2
6 589 2
6 590 6
6 592 4
6 600 3
6 604 5
6 609 9
6 611 5
6 613 5
6 616 5
6 617 8
6 619 4
6 643 2
6 656 2
6 659 8
6 665 9
6 668 5
6 673 10
6 691 7
6 694 2
6 700 10
6 704 2
6 717 7
6 723 7
6 730 1
6 733 5
6 739 10
6 741 9
6 761 4
6 765 1
6 779 2
6 789 5
6 791 5
6 798 10
6 802 1
6 813 10
6 820 4
6 826 4
6 857 6
6 863 10
6 871 3
6 881 10
6 885 1
6 893 6
6 895 3
6 897 2
6 904 1
6 906 6
6 907 6
6 913 5
6 922 8
6 932 7
6 936 7
6 955 1
6 960 8
6 963 3
6 966 5
6 971 10
6 972 9
6 978 1
6 979 10
6 983 3
6 991 7
6 993 3
6 995 8
6 1007 1
6 1014 4
6 1022 8
6 1026 7
6 1032 4
6 1035 4
6 1043 6
6 1055 5
6 1062 2
6 1125 6
6 1144 2
6 1152 4
6 1156 8
6 1160 8
6 1167 7
6 1168 9
6 1218 6
6 1220 2
6 1221 6
6 1222 8
6 1234 8
6 1241 8
