10000 20000
0 4122 4.25096495262
0 9182 5.27775056308
0 9814 7.30304622103
0 4991 4.80127536092
1 8017 9.9156177823
1 9338 8.00512545445
1 2443 5.14909697174
1 3405 5.54393343749
2 4946 7.32895454201
3 5345 1.66018170242
3 8195 9.10452131466
3 4612 7.88604277964
3 9129 1.22632385487
3 623 2.77799237934
3 61 3.42394292979
4 5505 3.53649048296
4 1131 2.08346210938
4 5715 6.95020371294
4 4343 2.93459354103
4 7898 7.27239830657
4 3132 3.83237117899
4 9853 3.82244384761
5 1834 3.22868301235
5 8450 3.60109966524
5 7842 1.64772223271
5 8358 6.86616306502
5 5293 2.09041409698
6 9520 5.61837466447
6 8027 3.10606777287
6 7246 7.45765337935
7 8098 5.61458262426
7 6533 7.71465487034
7 4488 8.5809686213
7 4617 9.75959387878
7 272 3.20458200066
7 9910 3.17718549919
7 9439 5.16967409658
8 5808 7.53637847133
8 1881 9.64701942509
8 4826 5.66865909582
8 9456 2.95105989519
8 7247 7.77217462154
9 803 7.66787849591
9 9807 8.48885075211
9 5399 2.70981579034
10 1989 9.83433524772
10 9991 7.68065810959
10 2916 8.91678636249
10 3765 7.18762790408
10 4439 4.60638238193
11 5382 5.99416922826
12 515 2.85986078084
12 1150 1.16028020041
12 1703 8.36260642011
13 3881 3.6230364361
13 4770 8.9738777912
13 4519 3.4589349716
14 3104 9.66250188127
14 8892 9.99805009828
14 9839 1.1279835717
14 9772 2.13996550704
14 5623 7.92154884237
15 9864 3.70379112247
15 6309 2.45306362394
15 8943 8.69812144454
16 6816 8.54052017259
16 1713 4.23148141278
16 9976 9.08455204423
16 575 6.65587840397
17 2023 9.12125860116
17 6996 9.06930682842
17 6237 2.14842482505
17 3935 6.95108064224
18 2275 8.97591627847
18 2669 6.53945735308
19 5720 4.41953736763
19 2107 9.10441452513
19 4074 1.82879001783
19 9987 9.99046952466
19 5927 9.01913731504
20 2213 7.89678899924
20 3255 2.7718248776
21 9834 5.70103973778
21 8947 2.66930279738
21 814 9.25097826261
21 1175 3.86728384551
22 4128 9.37097854041
22 9930 9.84341382885
22 9716 7.04922930864
23 3715 7.84873276205
23 8773 1.8387263443
23 3558 8.56044998102
23 3924 6.59769361052
23 255 5.02094224581
23 3615 6.0860747484
24 5720 9.88510161355
24 7513 7.00230271044
24 9600 4.7880128036
24 9630 8.2129456163
25 7409 4.40155866793
25 9430 6.33063656426
25 6201 1.39579901641
25 6650 8.94097572952
25 5947 3.95995294507
25 3324 4.90436801016
26 1563 6.85377011963
26 7047 4.33497580362
26 7101 5.51155144218
26 8942 8.84461712551
26 7015 8.63121332142
27 8347 7.53227631812
27 460 9.91582634755
27 1205 5.1837550224
27 4326 1.37096375702
28 2761 5.82047474285
28 891 3.37790404599
28 8217 5.96979965299
28 4423 5.31797047298
29 3010 4.1902011627
29 4100 6.22656898494
29 3529 9.42293053235
29 6378 5.91186598114
29 3052 2.40473339083
29 4398 4.40662912761
29 4501 5.15628133187
29 7196 4.57223193412
30 2369 4.48813067499
30 2114 6.59598473001
30 9958 3.28912082365
30 5703 7.6381640334
31 3128 8.72713007706
31 4752 5.84690316138
31 3491 6.64778608502
31 1404 1.45798296594
31 1667 4.61917665462
32 4656 3.53634929148
32 9286 1.52860564304
33 4128 9.65514239134
33 3842 5.78238962276
33 2373 5.79033432176
34 9884 6.32756109363
34 5548 1.34491174338
34 9196 8.37662567886
35 653 5.4539751503
35 9159 7.96053957058
36 1011 5.50585942812
36 3213 9.58152665375
36 2894 5.27204093233
36 4575 6.34250242773
37 5988 9.45168523724
38 608 8.28742024669
38 8802 5.79808505544
38 2693 9.34240662475
38 7627 1.18767709687
38 5903 5.03009988124
38 4499 7.40421975341
38 8027 6.88623714885
39 6704 9.62982182214
39 1270 7.31669280953
40 6553 8.5114481895
40 7810 2.93796787429
40 7427 3.97965347691
41 7875 1.70452437409
41 4580 3.22396749506
41 5868 5.07936355114
41 4141 8.48931168051
41 2612 6.25916078792
41 4660 6.88337159146
42 5547 3.69272382192
43 8867 4.21411274594
43 3717 6.86972999376
43 5936 1.82325481558
43 370 1.23352155098
43 1977 2.34186401695
